Tue Nov 04 06:46:19 +0000 2014,@FreeNewsPos,'St. Vincent': a warmhearted entry in sad-Bill Murray canon Watch Bill Murray garden and croon Dylan in 'St. V http://t.co/DtTimtUQc3,
Tue Nov 04 06:46:04 +0000 2014,@sulufiti,Off to see Bill 'F'ing' Murray in #StVincent #$10movietuesday ,
Tue Nov 04 06:41:10 +0000 2014,@annarita443,RT @Zeuxidian: Bill Murray canta Shelter From the Storm di Bob Dylan http://t.co/vToDm2ZhKm via @IlPost,
Tue Nov 04 06:40:05 +0000 2014,@nest_cownden,Mi bet #OsmosisJones wud kick da raaaas outta dis Ebola ting, Where Bill Murray at wen ya need him an ting, #moirajussay,
Tue Nov 04 06:38:21 +0000 2014,@chandlerzlist,RT @BestMovieLine: "...if I kill all the golfers, they're gonna lock me up and throw away the key. Bill Murray Caddyshack 1980,
Tue Nov 04 06:37:57 +0000 2014,@ilpost,RT @Zeuxidian: Bill Murray canta Shelter From the Storm di Bob Dylan http://t.co/vToDm2ZhKm via @IlPost,
Tue Nov 04 06:36:59 +0000 2014,@Shaya_in_LA,Just said out loud "Oh thank god Bill Murray is still in this" #OliveKitteridge,
Tue Nov 04 06:36:15 +0000 2014,@maxx_chaos,Just a periodic reminder that Bill Murray is an awful person,
Tue Nov 04 06:33:59 +0000 2014,@Zeuxidian,Bill Murray canta Shelter From the Storm di Bob Dylan http://t.co/vToDm2ZhKm via @IlPost,
Tue Nov 04 06:32:38 +0000 2014,@KarmeleBerrocal,RT @MovieWeb: 'Magic City' Movie Planned with Willis, Murray and Original Cast http://t.co/sKpM0Qz5Fu http://t.co/7KJST98iCM,
Tue Nov 04 06:30:21 +0000 2014,@timboslice415,I need Bill Murray's purple hat from Olive Kittridge #oldwhitepeople2014,
Tue Nov 04 06:24:14 +0000 2014,@jclendzz,Bill Murray will never die,
Tue Nov 04 06:21:46 +0000 2014,@fabricemauleon,15mn utiles? Un mini cours de #storytelling avec l'acteur Bill Murray: http://t.co/U6TduV61V0 via presentationzen (3/3),
Tue Nov 04 06:20:25 +0000 2014,@benwillisart,Where is Bill Murray though. #OliveKitteridge,
Tue Nov 04 06:18:59 +0000 2014,@HomeyGaming,FAV for alex from target RT for Bill Murray,
Tue Nov 04 06:18:05 +0000 2014,@rethebear,Photoset: milk-roses: sizvideos: Bill Murray Crashes Bachelor Party, Gives Awesome Speech I think this... http://t.co/j9taJDa3GO,
Tue Nov 04 06:18:01 +0000 2014,@toceriD,Bill Murray Leads The Cast Arrivals Of 'St. Vincent' At The New York Premiere - Part 1 - http://t.co/oW4rLF63Zl,
Tue Nov 04 06:11:49 +0000 2014,@Minor_House,.@criquetshirts unveiled the Limited Edition Bill Murray T-Shirt. Find out how to get one: http://t.co/siVU6Whn2j http://t.co/N4GHUdqncI,
Tue Nov 04 06:10:41 +0000 2014,@JakeHaimowitz,Shoutout to everyone who recognized my Bill F'n Murray shirt and yelled #ChiveOn!! #KCCO,
Tue Nov 04 06:08:44 +0000 2014,@47young1,@midnight #LesserKnownNYLandmarks A big marshmallow man who is BFFs with Bill Murray,
Tue Nov 04 06:06:05 +0000 2014,@irygoyen,Bill Murray Will Fight for Clemson: http://t.co/1E6s1BMhwyJajajajjajajajaja ya estn viejitos los 2,
Tue Nov 04 06:05:34 +0000 2014,@loganwoodardOG,my dad partied with Bill Murray #fact,
Tue Nov 04 06:03:52 +0000 2014,@ideasonstage,Bill Murray on storytelling: http://t.co/xpSXvrcKF1 by @presentationzen,
Tue Nov 04 06:03:11 +0000 2014,@apsanchez17,http://t.co/c5iNpHI8Uc,
Tue Nov 04 06:01:26 +0000 2014,@may_noir,Being yourself is where your home is, said Bill Murray.,
Tue Nov 04 06:00:12 +0000 2014,@AustenGK,Being Bill Murray http://t.co/R5tR8LsNLM via @rollingstone,
Tue Nov 04 05:57:31 +0000 2014,@crzyapl,@GeorgeKrieger do you know Bill Murray?!?,
Tue Nov 04 05:53:41 +0000 2014,@loveyourcake,Bill Murray makes everything better,
Tue Nov 04 05:53:20 +0000 2014,@FlowlocoProduct,I'm giving away: Bill Murray - MEATBALLS. Check it out - http://t.co/MZ89B5FBfh #listia http://t.co/8lE7uD5Nf1  1,
Tue Nov 04 05:53:16 +0000 2014,@ANN7tv,RT @The_New_Age: 'Magic City' to be revived as a movie with Bruce Willis and Bill Murray | http://t.co/iBEkox6Xe7 http://t.co/dGoQL98qYt,
Tue Nov 04 05:52:08 +0000 2014,@MeganFisher07,Talk to me about Bill Murray and we'll be friends for life.,
Tue Nov 04 05:50:28 +0000 2014,@_semiIiterate,Kinda weird that I never noticed Bill Murray in this old photo of me until just now. #tbt http://t.co/gS3snADPmI,
Tue Nov 04 05:49:24 +0000 2014,@CristianViera,Bill fucking Murray http://t.co/YNzHeAqwkn,
